sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
1000,0.123 882 125,"SysTick","ISR Enter","Runs for 126.625 us",991057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,5127,4,02 0F 93 23 
1001,0.123 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",991570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5131,5,06 D0 0C 81 04 
1002,0.124 008 750,"SysTick","ISR Exit","Returns to Scheduler",992070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,5136,3,12 F4 03 
1003,0.124 072 500,"SystemTask","Task Run","Runs for 129.000 us",992580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,5139,5,04 D0 0C FE 03 
1004,0.124 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",993097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,5144,5,23 01 01 85 04 
1005,0.124 201 500,"SystemTask","Task Block","Delayed",993612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,5149,6,07 D0 0C 04 83 04 
1006,0.124 319 750,"Idle","System Idle","Idle for 689.000 us",994558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,5155,3,11 B2 07 
1007,0.124 882 125,"SysTick","ISR Enter","Runs for 126.625 us",999057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,5158,4,02 0F 93 23 
1008,0.124 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",999570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5162,5,06 D0 0C 81 04 
1009,0.125 008 750,"SysTick","ISR Exit","Returns to Scheduler",1000070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,5167,3,12 F4 03 
1010,0.125 072 500,"SystemTask","Task Run","Runs for 129.000 us",1000580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,5170,5,04 D0 0C FE 03 
1011,0.125 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",1001097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,5175,5,23 01 01 85 04 
1012,0.125 201 500,"SystemTask","Task Block","Delayed",1001612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,5180,6,07 D0 0C 04 83 04 
1013,0.125 319 750,"Idle","System Idle","Idle for 689.000 us",1002558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,5186,3,11 B2 07 
1014,0.125 882 125,"SysTick","ISR Enter","Runs for 126.625 us",1007057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,5189,4,02 0F 93 23 
1015,0.125 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",1007570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5193,5,06 D0 0C 81 04 
1016,0.126 008 750,"SysTick","ISR Exit","Returns to Scheduler",1008070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,5198,3,12 F4 03 
1017,0.126 072 500,"SystemTask","Task Run","Runs for 129.000 us",1008580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,5201,5,04 D0 0C FE 03 
1018,0.126 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",1009097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,5206,5,23 01 01 85 04 
1019,0.126 201 500,"SystemTask","Task Block","Delayed",1009612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,5211,6,07 D0 0C 04 83 04 
1020,0.126 322 875,"Idle","System Idle","Idle for 827.500 us",1010583,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,5217,3,11 CB 07 
1021,0.126 882 125,"SysTick","ISR Enter","Runs for 268.250 us",1015057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,5220,4,02 0F FA 22 
1022,0.126 946 250,"SysTick","Task Ready","Tarefa_T1, runs after 512.125 us",1015570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5224,5,06 98 0A 81 04 
1023,0.127 018 500,"SysTick","Task Ready","Tarefa_T2, runs after 758.875 us",1016148,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5229,5,06 B4 0B C2 04 
1024,0.127 090 000,"SysTick","Task Ready","SystemTask, runs after 124.125 us",1016720,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5234,5,06 D0 0C BC 04 
1025,0.127 150 375,"SysTick","ISR Exit","Returns to Scheduler",1017203,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,5239,3,12 E3 03 
1026,0.127 214 125,"SystemTask","Task Run","Runs for 129.000 us",1017713,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,5242,5,04 D0 0C FE 03 
1027,0.127 278 750,"SystemTask","vTaskDelay","xTicksToDelay=1",1018230,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,5247,5,23 01 01 85 04 
1028,0.127 343 125,"SystemTask","Task Block","Delayed",1018745,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,5252,6,07 D0 0C 04 83 04 
1029,0.127 458 375,"Tarefa_T1","Task Run","Runs for 190.250 us",1019667,0x0000000400000000,0x0000000800000518,0x0000000800000518,4,5258,5,04 98 0A 9A 07 
1030,0.127 648 625,"Tarefa_T1","Task Block","Reason=27",1021189,0x0000000800000518,0x0000000800000518,0x0000000400000000,7,5263,6,07 98 0A 1B F2 0B 
1031,0.127 777 375,"Tarefa_T2","Task Run","Runs for 229.250 us",1022219,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,5269,5,04 B4 0B 86 08 
1032,0.127 882 125,"SysTick","ISR Enter","Runs for 124.500 us",1023057,0x00000008000005B4,0x000000010000000F,0x000000010000000F,2,5274,4,02 0F C6 06 
1033,0.127 946 250,"SysTick","Task Ready","SystemTask, runs after 124.125 us",1023570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,5278,5,06 D0 0C 81 04 
1034,0.128 006 625,"SysTick","ISR Exit","Returns to Scheduler",1024053,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,5283,3,12 E3 03 
1035,0.128 070 375,"SystemTask","Task Run","Runs for 129.000 us",1024563,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,5286,5,04 D0 0C FE 03 
1036,0.128 135 000,"SystemTask","vTaskDelay","xTicksToDelay=1",1025080,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,5291,5,23 01 01 85 04 
1037,0.128 199 375,"SystemTask","Task Block","Delayed",1025595,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,5296,6,07 D0 0C 04 83 04 
1038,0.128 318 625,"Tarefa_T2","Task Run","Runs for 491.875 us",1026549,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,5302,5,04 B4 0B BA 07 
1039,0.128 632 750,"Tarefa_T2","xQueueGenericSend","xQueue=0x20001070 pvItemToQueue=0x20000290 xTicksToWait=4294967295 xCopyPosition=0",1029062,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,90,5307,17,5A 0D 9C 08 90 85 80 80 02 FF FF FF FF 0F 00 D1 13 
1040,0.128 726 250,"Tarefa_T2","Task Ready","Tarefa_T1, runs after 84.250 us",1029810,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,6,5324,5,06 98 0A EC 05 
1041,0.128 810 500,"Tarefa_T1","Task Run","Runs for 296.250 us",1030484,0x00000008000005B4,0x0000000800000518,0x0000000800000518,4,5329,5,04 98 0A A2 05 
